compound,media_name,negative,neutral,positive,tweet_text
0.0,CNN,1.0,0.0,0.0,RT @JustCallMeKourt: I can already see folks wylin with the girl in the wheel chair. 💀 https://t.co/DGH6UVTfo0
-0.3971,CNN,0.66,0.201,0.139,"RT @NotKennyRogers: ""Let's go Duke!!!"" - Kim Jong-un, Florida Georgia Line, Iran, people who prefer Pepsi over Coke, terrorism, Joy Behar,…"
0.3089,CNN,0.903,0.0,0.097,"RT @WalshFreedom: I don't give a damn what thousands of children say. I was born with this right, and I will exercise this right every sing…"
0.0,CNN,1.0,0.0,0.0,"RT @CNN: Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9"
0.3182,CNN,0.909,0.0,0.091,"RT @EdKrassen: If you didn’t watch Emma Gonzalez’s 6:20 long speech at #MarchForOurLives today, please take the time to do so.  If you did,…"
-0.0772,CNN,0.944,0.056,0.0,RT @_Jahan: Serious question: Has @RickSantorum seen images from the slaughter at Stoneman Douglas High? What kind of CPR could have been u…
-0.6705,CNN,0.814,0.186,0.0,RT @Hublife: The middle east is on fire. Our allies are under attack and CNN is dedicating 60 Minutes to a busted looking porn star who may…
0.0,CNN,1.0,0.0,0.0,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…
0.34,CNN,0.778,0.104,0.119,"RT @petefrt: Screw Stormy....

Trump could screw the Rockettes entire chorus line for all I care @cnn.... so long as he drains the swamp, b…"
0.0,CNN,1.0,0.0,0.0,RT @JustCallMeKourt: I can already see folks wylin with the girl in the wheel chair. 💀 https://t.co/DGH6UVTfo0
0.0,CNN,1.0,0.0,0.0,RT @JustCallMeKourt: I can already see folks wylin with the girl in the wheel chair. 💀 https://t.co/DGH6UVTfo0
-0.3971,CNN,0.66,0.201,0.139,"RT @NotKennyRogers: ""Let's go Duke!!!"" - Kim Jong-un, Florida Georgia Line, Iran, people who prefer Pepsi over Coke, terrorism, Joy Behar,…"
0.3089,CNN,0.903,0.0,0.097,"RT @WalshFreedom: I don't give a damn what thousands of children say. I was born with this right, and I will exercise this right every sing…"
0.0,CNN,1.0,0.0,0.0,"RT @CNN: Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9"
0.3182,CNN,0.909,0.0,0.091,"RT @EdKrassen: If you didn’t watch Emma Gonzalez’s 6:20 long speech at #MarchForOurLives today, please take the time to do so.  If you did,…"
-0.0772,CNN,0.944,0.056,0.0,RT @_Jahan: Serious question: Has @RickSantorum seen images from the slaughter at Stoneman Douglas High? What kind of CPR could have been u…
-0.6705,CNN,0.814,0.186,0.0,RT @Hublife: The middle east is on fire. Our allies are under attack and CNN is dedicating 60 Minutes to a busted looking porn star who may…
0.0,CNN,1.0,0.0,0.0,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…
